 
****************************************
Report : constraint
        -all_violators
Design : aes_ASIC_new
Version: T-2022.03-SP2
Date   : Mon Mar 23 12:11:33 2026
****************************************


   min_delay/hold ('sys_clk' group)

                             Required        Actual
   Endpoint                 Path Delay     Path Delay        Slack
   -----------------------------------------------------------------
   u_aes_top/u_en/round_ctrl_reg_2_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_3_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_4_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_5_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_6_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_7_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_8_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_9_/D     1.13     0.92 f    -0.20  (VIOLATED)
   u_aes_top/u_en/round_ctrl_reg_10_/D     1.13     0.92 f    -0.20 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__0_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__1_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__2_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__3_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__4_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__5_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__6_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__8_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__9_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__10_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__11_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__12_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__13_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__14_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__15_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__16_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__17_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__18_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__19_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__20_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__21_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__22_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__23_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__24_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__25_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__26_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__28_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__30_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__31_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__32_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__33_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__34_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__35_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__36_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__37_/D     1.13     0.94 f    -0.19 (VIOLATED)
   u_aes_top/u_ke/round_keys_reg_10__38_/D     1.13     0.94 f    -0.19 (VIOLATED)
